feature;importance;importance_pct;feature_group
external_score_3;605;4.41;Внешние скоры
external_score_2;477;3.47;Внешние скоры
loan_amount;459;3.34;Кредит
age_years;418;3.04;Демография
dti;389;2.83;Кредит
years_since_registration;386;2.81;Прочее
prev_mean_term;385;2.8;Предыдущие заявки
bureau_total_debt;375;2.73;Кредитная история
monthly_annuity;374;2.72;Кредит
years_since_id_issued;357;2.6;Прочее
pay_total;355;2.59;Платежи
employment_years;347;2.53;Занятость
goods_price;342;2.49;Кредит
pay_late_ratio;332;2.42;Платежи
pos_months_total;330;2.4;POS история
prev_credit_diff_mean;304;2.21;Предыдущие заявки
years_since_phone_change;300;2.18;Прочее
prev_credit_diff_ratio;299;2.18;Предыдущие заявки
prev_mean_annuity;291;2.12;Прочее
pay_max_delay;277;2.02;Платежи
region_population_density;271;1.97;Прочее
pos_completed_ratio;219;1.6;Прочее
bureau_active_loans;214;1.56;Кредитная история
bureau_total_loans;212;1.54;Кредитная история
card_mean_util;204;1.49;Карты
employer_industry;201;1.46;Прочее
card_max_util;189;1.38;Карты
monthly_income;188;1.37;Прочее
prev_max_annuity;187;1.36;Прочее
bb_months_total;175;1.27;Бюро баланс
prev_mean_requested;164;1.19;Прочее
prev_refused_ratio;160;1.17;Предыдущие заявки
application_hour;160;1.17;Прочее
prev_mean_credit;149;1.09;Прочее
occupation;143;1.04;Прочее
prev_approved_ratio;142;1.03;Прочее
marital_status;134;0.98;Прочее
gender;123;0.9;Демография
application_weekday;107;0.78;Прочее
education_level;106;0.77;Занятость
pos_dpd_mean_12m;105;0.76;POS история
prev_total_apps;103;0.75;Предыдущие заявки
pos_dpd_weighted_mean;86;0.63;Прочее
prev_approved_count;81;0.59;Прочее
region_risk_score_with_city;80;0.58;Прочее
card_dpd_ratio;78;0.57;Прочее
prev_insurance_ratio;72;0.52;Прочее
social_circle_obs_30dpd;71;0.52;Прочее
owns_car;71;0.52;Прочее
pay_dpd30_ratio;68;0.5;Прочее
